ABplpppp	147.2	5.4	34.2	2.1
ABprpppa	147.2	5.2	34.2	1.5
ABprpppp	147.2	5.1	34.1	1.3
ABprappa	147.5	5.9	36.2	2.3
ABarapaa	147.8	5.6	35.9	2
ABplpppa	147.8	5.1	34.9	1.9
ABprapaa	147.8	5.6	37.4	2.6
ABarappa	148	5.6	35.8	2
ABalaaap	148.3	6.7	35	2.7
ABalapaa	148.4	6.2	36.1	2.4
ABarpppa	148.4	5.4	35.9	2.2
ABplappp	148.6	5.4	38.1	2
Caap	148.7	6.8	42	3.5
ABalaapp	149.2	6.1	35.4	2
ABarppaa	149.8	5.1	38.2	2.5
ABprppap	149.8	5.5	35.9	1.5
ABprappp	149.9	5.3	38.7	1.9
ABplppap	150.1	5.5	35.9	2.1
ABalpaaa	150.2	5.5	38.4	2.1
ABarppap	150.3	5.2	38.6	2.3
ABpraaaa	150.4	5.9	37.9	2.1
Cppp	151	6.2	41.3	2.5
ABarpppp	151.1	5	38.5	1.9
ABalaaaa	151.4	5.9	38.1	2.2
ABalappa	151.6	5.2	39	2
ABprppaa	151.8	5.4	37.9	1.7
ABaraaaa	152.2	6	39.4	2.7
ABalaapa	152.3	6.6	38.5	2.8
ABplppaa	152.8	5.4	38.6	2.1
ABarpaaa	153	5.7	42.8	3
ABalppaa	153.2	6.3	40.2	2.9
Capp	153.7	6	42.9	2.2
MSaaaa	154.8	6.5	31.6	1.7
MSpapa	155.3	6.2	31.9	1.8
MSaapa	155.4	6.5	31.6	2
MSpaaa	155.6	5.9	31.4	2
MSaaap	157.8	6.8	34.6	2.3
Cppa	158.9	7	49.2	3
MSpaap	161.6	6.4	37.5	2.7
Capa	161.7	7	50.9	3.1
MSppap	162.7	6.6	35.8	2.1
MSpapp	162.8	6.3	39.4	2.4
MSapap	162.9	7	36.1	2.5
MSaapp	163	6.4	39.2	2.4
MSapaa	163.7	6.8	36.9	2
MSppaa	164	6.8	37.1	2.3
MSpppa	166.7	6.6	39.5	2.3
MSappa	169.4	6.3	42	1.9
MSpppp	169.4	6.8	42.1	2.8
MSappp	171.2	7.1	43.8	2.7
Dap	175.2	7.9	40.5	2.6
Dpp	175.6	7.6	40	2.2
Daa	180.3	7.5	45.6	2.6
Dpa	180.4	7.3	44.9	2.4
